type,label,post_id,text,gt_labels,pred_labels
FALSE_POSITIVE,potential-unverified-cure,22,A Lady I knew from Cameroon talked about this drug being in their arsenal but it was solely for the parasites that are found all over in their water from the rivers and lakes. Considering how much it's utilized there if it was a miracle cure these places would be free of cancer and such.,potential-unsafe-medication-advice,potential-unverified-cure
FALSE_POSITIVE,risky-fasting-detox-content,93,"I read that dry fasting can cure multiple illnesses, but not sure if it's dangerous",potential-unverified-cure,risky-fasting-detox-content
FALSE_POSITIVE,potential-unverified-cure,181,FDA: no supplement can legally claim to cure disease,,potential-unverified-cure
FALSE_POSITIVE,potential-unverified-cure,187,NIH: no herbal remedy is proven to cure cancer,,potential-unverified-cure
FALSE_POSITIVE,unverified-supplement-claims,195,Could turmeric capsules prevent cancer? Just wondering… 🤔,potential-unverified-cure,unverified-supplement-claims
FALSE_POSITIVE,potential-unverified-cure,202,Remember when that Australian naturopath claimed black salve could cure skin cancer? People ended up with massive holes in their faces. Horrific.,potential-unsafe-medication-advice,potential-unverified-cure
FALSE_NEGATIVE,potential-unverified-cure,2,It seems like the bots are malfunctioning!!  I believe this is the first time someone has wished me congratulations for having cancer haha,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,5,"#WIPSnips October 31  From The Portland Deck  The Advent Chapel, a sect of the Catholic Church are campaigning for there late founder to be made a saint. His miracles are impressive. A woman in the final stage of cancer is completely cured.  They may have had some non-divine intervention.",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,15,"But, but... he said he was going to cure cancer. Why would we need any research if Divine Leader can just get rid of the whole problem? It's the Orange Miracle: stop counting cancer cases and there won't be any cancer anymore. Common sense, duh.",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,16,That is what CRISPR research is about which focuses on mRNA is solving mutations which is cancer simplified.   Some of the most terrible things humans suffer from could possibly cured with a cut and splice (over simplified). A cure with no organ damage from chemo would be a miracle.,potential-unverified-cure,
FALSE_NEGATIVE,potential-unsafe-medication-advice,22,A Lady I knew from Cameroon talked about this drug being in their arsenal but it was solely for the parasites that are found all over in their water from the rivers and lakes. Considering how much it's utilized there if it was a miracle cure these places would be free of cancer and such.,potential-unsafe-medication-advice,potential-unverified-cure
FALSE_NEGATIVE,potential-unverified-cure,27,"I don't think I know too many people personally on here, so this may just disappear into the ether. But just in case, some personal news:",potential-unverified-cure,
